Aff,Neg,Judge,Win
Mountain Lakes EW,American Heritage Broward ZC,Jack Quisenberry,Neg
Harvard-Westlake MR,Iowa City West FH,Eva Lamberson,Neg
Mountain View AW,Greenhill SK,Clare Bradley,Neg
Harrison AG,Holy Trinity Episcopal CH,Judah Jones,Aff
Wheatley AM,Interlake JP,Adam Lipton,Aff
American Heritage Broward CA,Marlborough LS,Shreeram Modi,Neg
Loyola UT,Little Rock Central GT,Judah Jones,Neg
Greenhill VT,Harker SS,Mark Kivimaki,Neg
Ridge HK,Cary Acad LM,Reese Potash,Aff
Greenhill DM,Waring MB,Kumail Zaidi,Aff
Greenhill MA,Evergreen Valley SK,Jacob Nails,Aff
Northern Valley AC,Monta Vista EY,Tom Evnen,Neg
Colleyville Heritage GM,Harker TP,Aidan Etkin,Aff
Harrison FW,Cabot KB,Jasmine Stidham,Aff
Harker LC,Harvard-Westlake LS,Chris Castillo,Aff
Clear Lake RZ,Northland Christian LM,Emilio Menotti,Aff
Horace Greeley SG,Langham Creek EY,Rob Sosa,Aff
West Des Moines Valley LS,Syosset AP,Nigel Taylor-Ward,Aff
Loyola TH,Strake Jesuit  LC,Sean Wallace,Neg
St Thomas CO,Barrington AC,Spencer Swickle,Neg
Harker NB,Harvard-Westlake AS,Elizabeth Elliott,Neg
Lynbrook OM,Lake Highland Prep NA,Ilan Boguslavsky,Aff
West HS SLC LM,American Heritage Broward JX,Ben Saudek,Neg
Flintridge Prep CX,Lynbrook VV,Ilan Boguslavsky,Neg
Marlborough LF,Phillips Exeter ES,Patrick Fox,Neg
Sehome RS,Harrison AN,Conal Thomas-McGinnis,Aff
Isidore Newman DC,Memorial AW,Nick Loew,Aff
Marlborough AM,Millard North CB,Christian Bohmer,Aff
Edgemont AP,Laurel CW,Reese Potash,Neg
BASIS Silicon Valley JK,Harvard-Westlake KM,Gordon Krauss,Aff
Harker SD,Marlborough OO,David Dosch,Neg
Horace Greeley AM,Harker ID,Nigel Taylor-Ward,Neg
Immaculate Heart ES,Strake Jesuit  KS,Elizabeth Elliott,Aff
American Heritage Broward CM,McNeil AS,Sachin Aggarwal,Neg
Head-Royce AJ,Acton-Boxborough NK,Chan Park,Aff
Harker SSe,Plano West AR,Truman Le,Aff
Cherry Hill HS East CR,Horace Greeley CC,Scott Phillips,Neg
Coppell KT,Vestavia Hills VZ,Jacob Smith,Aff
Lynbrook BZ,Peninsula SU,Emilio Menotti,Neg
Greenhill EX,Memorial EJ,Ana Bittner,Neg
Greenhill AK,Cary Acad RP,David Asafu-Adjaye,Aff
Lexington OO,Awty International DR,Sophia Tian,Neg
Sonoma AM,BASIS Scottsdale SS,Kush Vijapure,Aff
McNeil NV,Flintridge Prep IL,David Asafu-Adjaye,Aff
Harker AA,Plano West SG,Truman Le,Aff
