Affirmative,Negative,Judges,Votes,Win
Quarry Lane AM,Peninsula YK,"Bilal Faisal																																						Anthony Trufanov																																						Rosalind Goldman","Affirmative																															Negative																															Affirmative","2-1																															AFFIRMATIVE"
Liberal Arts and Science BC,Quarry Lane PS,"Brandon Lin																																						Alyssa Lucas-Bolin																																						Molly Urfalian","Affirmative																															Negative																															Affirmative","2-1																															AFFIRMATIVE"
Notre Dame BC,Sonoma KL,"Jenny Liu																																						Ian Beier																																						Ilan Boguslavsky","Negative																															Negative																															Negative","3-0																															NEGATIVE"
College Prep NT,Peninsula LP,"Iris Zhang																																						Yao Yao Chen																																						Zach Thiede","Affirmative																															Negative																															Negative","2-1																															NEGATIVE"
