Aff,Neg,Judge,Win
Clear Lake RZ,Greenhill EX,Garrett Bishop,Aff
Greenhill MA,Interlake JP,Jack Quisenberry,Neg
Lynbrook BZ,Harvard-Westlake MR,Amanda Ciocca,Aff
Flintridge Prep CX,Harrison FW,Nine Abad,Aff
Evergreen Valley SK,Vestavia Hills VZ,Jordan Keller,Aff
Cary Acad RP,Loyola TH,Nigel Taylor-Ward,Aff
Iowa City West FH,Ridge HK,David McGinnis,Aff
Cary Acad LM,Greenhill AK,Chan Park,Neg
Marlborough LF,Greenhill VT,Adam Lipton,Neg
BASIS Scottsdale SS,Greenhill SK,Jacob Nails,Neg
Plano West SG,West HS SLC LM,Christian Bohmer,Aff
Wheatley AM,Syosset AP,Brooklynn Hato,Neg
Strake Jesuit  KS,Harker NB,Kush Vijapure,Neg
Harrison AN,Coppell KT,Eva Lamberson,Neg
Northern Valley AC,American Heritage Broward CM,Bodhi Rosen,Aff
McNeil NV,American Heritage Broward ZC,Bodhi Rosen,Neg
Barrington AC,Waring MB,Julian Kuffour,Neg
Memorial EJ,Plano West AR,Elizabeth Elliott,Neg
American Heritage Broward JX,Harker TP,Shreeram Modi,Neg
Horace Greeley CC,Marlborough OO,Jasmine Stidham,Neg
Little Rock Central GT,Lynbrook OM,Vontrez White,Neg
Sonoma AM,American Heritage Broward CA,Nigel Taylor-Ward,Neg
Mountain View AW,Sehome RS,Patrick Fox,Aff
Lake Highland Prep NA,Harker SD,Rodrigo Paramo,Aff
Greenhill DM,Langham Creek EY,Holden Bukowsky,Aff
Harker SS,Lynbrook VV,Stephen Lewis,Aff
Loyola UT,Marlborough LS,Christian Bohmer,Aff
Awty International DR,Holy Trinity Episcopal CH,Eliza Buckner,Aff
Harvard-Westlake AS,St Thomas CO,Michael Harris,Aff
Flintridge Prep IL,Cabot KB,Raunak Dua,Neg
Phillips Exeter ES,Cherry Hill HS East CR,Eric Schwerdtfeger,Aff
Harrison AG,Colleyville Heritage GM,Michael Harris,Neg
Horace Greeley SG,Lexington OO,Kumail Zaidi,Aff
Peninsula SU,Acton-Boxborough NK,Nick Loew,Aff
Horace Greeley AM,Edgemont AP,Jordan Keller,Aff
Northland Christian LM,Mountain Lakes EW,Vontrez White,Aff
Harvard-Westlake KM,Strake Jesuit  LC,Nick Loew,Neg
Harker AA,Immaculate Heart ES,Scott Phillips,Neg
Marlborough AM,McNeil AS,Shreeram Modi,Aff
Harvard-Westlake LS,Memorial AW,Ilan Boguslavsky,Aff
Isidore Newman DC,Monta Vista EY,Samantha McLoughlin,Neg
Millard North CB,Harker LC,Rodrigo Paramo,Aff
BASIS Silicon Valley JK,Harker ID,Elizabeth Elliott,Aff
West Des Moines Valley LS,Laurel CW,Vik Maan,Aff
Harker SSe,Head-Royce AJ,Johnny Stumpff,Neg
