Aff,Neg,Judge,Win
Greenhill AK,Harker LC,Mark Kivimaki,Neg
Loyola TH,Acton-Boxborough NK,Shreeram Modi,Neg
Flintridge Prep IL,Harker SD,Jordan Keller,Neg
Lynbrook BZ,Iowa City West FH,Holden Bukowsky,Aff
BASIS Silicon Valley JK,Memorial AW,Ethan Greer,Aff
Holy Trinity Episcopal CH,West HS SLC LM,Vontrez White,Neg
Langham Creek EY,Flintridge Prep CX,Patrick Fox,Aff
Horace Greeley CC,American Heritage Broward JX,Nigel Taylor-Ward,Aff
Harrison AG,Sonoma AM,Bodhi Rosen,Aff
Greenhill EX,Harker NB,Chan Park,Neg
Greenhill DM,Interlake JP,Jordan Keller,Aff
American Heritage Broward CM,Immaculate Heart ES,Chris Castillo,Neg
Harker SSe,Horace Greeley AM,Kumail Zaidi,Aff
Isidore Newman DC,Barrington AC,Vontrez White,Aff
Peninsula SU,Coppell KT,Patrick Fox,Aff
Harker AA,Syosset AP,Holden Bukowsky,Aff
Cary Acad RP,Strake Jesuit  KS,Chan Park,Aff
Harker SS,BASIS Scottsdale SS,Sachin Aggarwal,Aff
Lake Highland Prep NA,West Des Moines Valley LS,Ian Matuszeski,Aff
Marlborough LF,Clear Lake RZ,Conner Shih,Aff
Loyola UT,Head-Royce AJ,Shreeram Modi,Neg
Greenhill VT,Harvard-Westlake LS,Jacob Nails,Aff
Plano West SG,Mountain Lakes EW,Elizabeth Elliott,Aff
Lexington OO,Vestavia Hills VZ,Ayman Badawy,Neg
Monta Vista EY,Sehome RS,Sophia Tian,Aff
Colleyville Heritage GM,Marlborough LS,Raunak Dua,Aff
Cary Acad LM,Phillips Exeter ES,Eva Lamberson,Neg
Awty International DR,Lynbrook OM,Spencer Swickle,Neg
Greenhill SK,Horace Greeley SG,Nigel Taylor-Ward,Neg
American Heritage Broward ZC,McNeil AS,Michael Harris,Neg
Harvard-Westlake KM,Waring MB,Colton Gilbert,Aff
Edgemont AP,Plano West AR,Emilio Menotti,Neg
Harvard-Westlake AS,Evergreen Valley SK,Truman Le,Aff
Cherry Hill HS East CR,Harrison FW,Ana Bittner,Neg
Little Rock Central GT,Laurel CW,Sean Wallace,Aff
Strake Jesuit  LC,Marlborough OO,Mark Kivimaki,Neg
Mountain View AW,Marlborough AM,Adam Lipton,Neg
Harvard-Westlake MR,Wheatley AM,Elizabeth Elliott,Aff
Harker ID,Millard North CB,Jacob Nails,Neg
Greenhill MA,St Thomas CO,Amanda Ciocca,Neg
Lynbrook VV,American Heritage Broward CA,Rishi Mukherjee,Aff
Harker TP,Memorial EJ,Ethan Greer,Neg
Harrison AN,Northland Christian LM,Eliza Buckner,Neg
Ridge HK,McNeil NV,Ayman Badawy,Neg
Cabot KB,Northern Valley AC,Garrett Bishop,Aff
